Grupo;IDE;IDV;Peso;GDM;Días;GDM total;Sexo;Fecha;Hora
;964 001038939091;;250;0.64;99;0.61;Hembra;2023-12-27;09:10:00
;964 001038939397;;287;0.56;43;0.66;;2023-12-27;09:10:16
;964 001038939089;;276;0.72;43;0.66;Macho Here;2023-12-27;09:10:30
;991 005001004101;;300;0.66;71;0.75;Macho Here;2023-12-27;09:10:43
;964 001038939039;;230;0.7;43;0.66;Macho Here;2023-12-27;09:10:55
;964 001038935589;G-D610;279;0.58;43;0.6;Hembra;2023-12-27;09:11:07
Hembra;964 001038939383;;258;0.65;43;0.2;Macho Here;2023-12-27;09:11:21
;991 005001004177;;264;0.26;43;0.65;Macho Here;2023-12-27;09:11:32
Hembra;964 001038939392;;237;0.6;43;0.17;Macho Here;2023-12-27;09:11:44
Hembra;964 001038939388;;260;0.58;43;0.2;Hembra;2023-12-27;09:11:54
;964 001038939369;;270;0.51;43;0.62;Macho Here;2023-12-27;09:12:11
Macho;964 001038939363;;262;0.53;43;0.2;Hembra;2023-12-27;09:12:25
;964 001038939040;;202;0.51;43;0.48;Hembra;2023-12-27;09:12:38
;;;285;;;;;2023-12-27;09:12:52
;964 001038939092;;207;-0.33;43;0.39;Macho Here;2023-12-27;09:13:07
;964 001038939312;;322;0.65;43;0.67;Macho Here;2023-12-27;09:13:22
;964 001038939043;;215;0.3;43;0.45;;2023-12-27;09:13:34
;964 001038935514;C-B133;295;0.42;43;0.59;Macho Here;2023-12-27;09:13:50
;991 005001003553;;230;0.51;43;0.59;Hembra;2023-12-27;09:14:01
;;;278;;;;;2023-12-27;09:14:13
;991 005001004173;;246;0.67;43;0.57;Hembra;2023-12-27;09:14:27
;964 001038939087;;271;0.81;43;0.67;Hembra;2023-12-27;09:14:39
Macho;964 001038939379;;264;0.53;43;0.24;Hembra;2023-12-27;09:14:50
;964 001038939396;;295;0.37;43;0.62;Macho Here;2023-12-27;09:15:01
;964 001038935751;;260;0.63;43;0.59;Macho Here;2023-12-27;09:15:12
;;;285;;;;;2023-12-27;09:15:29
;991 005001003555;;255;0.37;43;0.6;Hembra;2023-12-27;09:15:40
;964 001038939100;;273;0.63;43;0.63;Macho Here;2023-12-27;09:15:53
;964 001038939333;;262;0.42;43;0.61;Hembra;2023-12-27;09:16:03
;964 001038939099;;255;0.51;43;0.61;;2023-12-27;09:16:19
;964 001038939037;;261;0.47;43;0.64;Macho Here;2023-12-27;09:16:31
Hembra;964 001038939386;;319;0.58;43;0.32;Macho Here;2023-12-27;09:16:48
;964 001038939050;;224;0.63;43;0.57;Macho Here;2023-12-27;09:16:59
Macho;964 001038939361;;272;0.42;43;0.24;Macho Here;2023-12-27;09:17:12
Hembra;964 001038939394;;233;0.63;71;0.18;Macho Here;2023-12-27;09:17:24
;991 005001004147;;275;0.77;43;0.67;Hembra;2023-12-27;09:17:36
Hembra;964 001038939387;;277;0.58;43;0.18;;2023-12-27;09:17:46
;964 001038939334;;285;0.6;43;0.74;Macho Here;2023-12-27;09:17:56
;964 001038939036;;260;0.35;43;0.61;;2023-12-27;09:18:07
;991 005001004142;;286;0.33;43;0.65;Macho Here;2023-12-27;09:18:17
Macho;964 001038939362;;278;0.65;43;0.25;Hembra;2023-12-27;09:18:28
